code,name,location,lat,lon
LEH,OCTEVILLE,LE HAVRE,49.534,0.088
N/A,ABBEVILLE,ABBEVILLE,50.143,1.832
ORE,BRICY,ORLEANS,47.988,1.761
N/A,VATRY,CHALONS,48.776,4.184
URO,VALLEE DE SEINE,ROUEN,49.384,1.175
TUF,VAL DE LOIRE,TOURS,47.432,0.728
CET,LE PONTREAU,CHOLET,47.082,-0.877
LVA,ENTRAMMES,LAVAL,48.031,-0.743
N/A,ST DENIS DE L HOTEL,ORLEANS,47.897,2.163
LBG,LE BOURGET,PARIS,48.969,2.441
CSF,CREIL,CREIL,49.253,2.519
CDG,CHARLES DE GAULLE,PARIS,49.013,2.550
N/A,VOISINS,COULOMMIERS,48.838,3.016
N/A,VILLAROCHE,MELUN,48.605,2.671
TNF,TOUSSUS LE NOBLE,TOUSSOUS-LE-NOBLE,48.752,2.106
ORY,ORLY,PARIS,48.725,2.359
POX,CORMEILLES EN VEXIN,PONTOISE,49.096,2.041
N/A,VELIZY,VILLACOUBLAY,48.774,2.201
N/A,BRETIGNY SUR ORGE,BRETIGNY-SUR-ORGE,48.597,2.331
N/A,PRUNAY,REIMS,49.208,4.157
QYR,BARBEREY,TROYES,48.323,4.018
N/A,CROISMARE,LUNEVILLE,48.597,6.545
N/A,ROUVRES,ETAIN,49.227,5.672
N/A,BELLEVUE,AUTUN,46.966,4.260
NVS,FOURCHAMBAULT,NEVERS,47.001,3.114
N/A,EPINOY,CAMBRAI,50.222,3.154
N/A,ELESMES,MAUBEUGE,50.310,4.033
N/A,LA VEZE,BESANCON-LA-VEZE,47.208,6.083
N/A,BOURSCHEID,PHALSBOURG,48.766,7.200
LIL,LESQUIN,LILLE,50.562,3.089
N/A,CALONNE,MERVILLE,50.618,2.642
N/A,CHARLEVILLE MEZIERES,CHARLEVILLE,49.784,4.647
N/A,FROTEY,VESOUL-FROTEY,47.638,6.204
N/A,AVRILLE,ANGERS,47.497,-0.573
BES,GUIPAVAS,BREST,48.448,-4.418
CER,MAUPERTUS,CHERBOURG,49.650,-1.470
DNR,PLEURTUIT,DINARD,48.588,-2.080
N/A,ESCOUBLAC,LA BAULE,47.289,-2.346
N/A,GRANVILLE,GRANVILLE,48.883,-1.564
DOL,ST GATIEN,DEAUVILLE,49.365,0.154
LRT,LANN BIHOUE,LORIENT,47.761,-3.440
EDM,LES AJONCS,LA ROCHE-SUR-YON,46.702,-1.379
N/A,LANDIVISIAU,LANDIVISIAU,48.530,-4.151
CFR,CARPIQUET,CAEN,49.173,-0.450
N/A,POULMIC,LANVEDOC,48.282,-4.445
LME,ARNAGE,LE MANS,47.949,0.202
RNS,ST JACQUES,RENNES,48.069,-1.735
LAI,LANNION,LANNION,48.754,-3.471
UIP,PLUGUFFAN,QUIMPER,47.975,-4.168
NTE,NANTES ATLANTIQUE,NANTES,47.153,-1.611
SBK,ARMOR,ST.-BRIEUC ARMOR,48.538,-2.854
MXN,PLOUJEAN,MORLAIX,48.603,-3.816
VNE,MEUCON,VANNES,47.723,-2.718
SNR,MONTOIR,ST.-NAZAIRE,47.312,-2.149
MLH,BALE MULHOUSE,MULHOUSE,47.589,7.530
N/A,MEYENHEIM,COLMAR,47.922,7.399
DIJ,LONGVIC,DIJON,47.269,5.090
MZM,FRESCATY,METZ,49.072,6.132
EPL,MIRECOURT,EPINAL,48.325,6.070
N/A,HAGUENAU,HAGUENAU,48.793,7.816
N/A,ROBINSON,ST.-DIZIER,48.636,4.899
N/A,ROSIERES,TOUL,48.780,5.980
N/A,COURCELLES,MONTBELIARD,47.487,6.792
ENC,ESSEY,NANCY,48.692,6.230
N/A,OCHEY,NANCY,48.583,5.955
N/A,PONTARLIER,PONTARLIER,46.904,6.327
RHE,CHAMPAGNE,REIMS,49.310,4.050
SXB,ENTZHEIM,STRASSBOURG,48.538,7.628
N/A,SAINT SAUVEUR,LUXEUIL,47.783,6.364
N/A,PIERREFEU,CUERS,43.248,6.127
TLN,HYERES,HYERES,43.097,6.146
FNI,GARONS,NIMES,43.757,4.416
N/A,MIQUELON,MIQUELON,47.095,-56.380
N/A,AMBERIEU,AMBERIEU,45.987,5.328
N/A,SAINT CHRISTOL,APT,44.057,5.495
N/A,DAMBLAIN,DAMBLAIN,48.085,5.665
N/A,NIERGNIES,CAMBRAI,50.141,3.263
N/A,BROYE LES PESMES,BROYE-LES-PESMES,47.335,5.514
N/A,MALBOUHANS,LURE,47.704,6.546
N/A,CLASTRES,ST.-SIMON,49.758,3.212
