label,lon,lat
A1,2.653055339896592,49.4961918927032
A4,5.041192696816467,49.08204515100642
A5,3.4959273482212536,48.31933112784662
A6,3.7920551915322585,47.75895339329959
A7,4.760235360708247,44.73349299649102
A8,6.339397132706815,43.43731254205021
A9,2.819748004194849,42.72382837709495
A10,0.5704087843880072,47.17651322895334
A11,-0.6657989216148543,47.53181054294097
A13,0.9075553012812174,49.37016380804749
A14,2.0237022185548907,48.95306313888605
A16,2.1812262718684963,49.68625530043086
A20,1.3570916119276795,46.30368075747387
A21,2.746707785265999,50.44307076268454
A25,2.6062291172118885,50.80193937585124
A26,3.4491011255365502,49.715890675691405
A30,5.930890927825832,49.339007034460316
A31,5.777482460490375,48.459307132194766
A35,7.538153006308533,48.459307132194766
A36,6.489238758861212,47.45587607631609
A39,5.440335943597164,46.71618704498183
A40,4.953347800549557,46.30368075747387
A41,6.039713880398023,45.783645603508354
A43,6.264482035721254,45.36409245933072
A51,5.927324086644771,44.05970871602955
A55,5.134845142185874,43.406652532075086
A61,2.512576671842482,43.18170975554244
A62,0.4954822552191728,44.22101026313184
A63,-1.5648715429077784,43.49169011602046
A64,0.6827871459579864,43.19200409541646
A65,-0.4410421984748959,44.00584498052403
A66,1.5818597672509105,43.19200409541646
A68,1.7691646579897242,43.84395800035095
A71,2.512576671842482,46.59335855955982
A75,3.1681437894283295,44.44938184466978
A77,2.705689111683793,47.75895339329959
A79,3.5298237716246095,46.536100270989266
A81,-0.6283470892137096,48.110324271952784
A86,2.0443144449954476,48.76081616558959
A89,2.231619335734261,45.606326084346975
A104,2.231619335734261,48.60623884533025
A837,-0.9525638068255723,45.99805560382374
